date,open,high,low,close,volume,dollar_volume,trade_count,sources
2009-08-04,0.500000,0.500000,0.500000,0.500000,0,0.00,1,local-cache
2009-09-09,0.450000,0.450000,0.450000,0.450000,5000,2250.00,1,local-cache
2009-09-10,0.400000,0.400000,0.400000,0.400000,6000,2400.00,2,local-cache
2009-09-15,0.400000,0.400000,0.400000,0.400000,12500,5000.00,2,local-cache
2009-09-21,0.400000,0.500000,0.400000,0.500000,12000,6000.00,3,local-cache
2009-09-22,0.400000,0.400000,0.400000,0.400000,200,80.00,1,local-cache
2009-09-24,0.450000,0.450000,0.450000,0.450000,2000,900.00,1,local-cache
2009-10-08,0.450000,0.500000,0.450000,0.500000,210700,105350.00,10,local-cache
2009-10-09,0.500000,0.500000,0.500000,0.500000,2600,1300.00,2,local-cache
2009-10-12,1.010000,1.010000,0.500000,0.600000,113200,67920.00,8,local-cache
2009-10-13,0.600000,0.850000,0.600000,0.850000,559760,475796.00,18,local-cache
2009-10-14,0.850000,0.860000,0.840000,0.850000,243447,206929.95,12,local-cache
2009-10-15,0.840000,0.840000,0.700000,0.700000,177400,124180.00,11,local-cache
2009-10-16,0.800000,0.800000,0.750000,0.750000,1800,1350.00,2,local-cache
2009-10-19,0.750000,0.750000,0.750000,0.750000,5600,4200.00,2,local-cache
2009-10-20,0.750000,0.750000,0.700000,0.700000,23475,16432.50,4,local-cache
2009-10-21,0.750000,0.750000,0.750000,0.750000,2500,1875.00,1,local-cache
2009-10-22,0.700000,0.700000,0.700000,0.700000,2500,1750.00,1,local-cache
2009-10-23,0.700000,1.010000,0.700000,1.010000,54080,54620.80,8,local-cache
2009-10-26,0.700000,0.700000,0.650000,0.650000,1268,824.20,2,local-cache
2009-10-27,0.700000,0.700000,0.650000,0.650000,5032,3270.80,3,local-cache
2009-10-28,0.600000,0.700000,0.550000,0.550000,212300,116765.00,11,local-cache
2009-10-29,0.690000,0.700000,0.550000,0.550000,26185,14401.75,3,local-cache
2009-10-30,0.650000,0.650000,0.650000,0.650000,25200,16380.00,4,local-cache
2009-11-04,0.690000,0.690000,0.650000,0.650000,45100,29315.00,5,local-cache
2009-11-06,0.650000,0.650000,0.650000,0.650000,8000,5200.00,1,local-cache
2009-11-09,0.550000,0.550000,0.550000,0.550000,2500,1375.00,1,local-cache
2009-11-12,0.360000,0.360000,0.360000,0.360000,1000,360.00,1,local-cache
2009-11-13,0.450000,0.650000,0.450000,0.650000,7500,4875.00,3,local-cache
2009-11-16,0.600000,0.600000,0.600000,0.600000,1568,940.80,1,local-cache
2009-11-19,0.600000,0.600000,0.600000,0.600000,1000,600.00,1,local-cache
2009-11-20,0.600000,0.600000,0.600000,0.600000,10500,6300.00,2,local-cache
2009-11-24,0.600000,0.600000,0.600000,0.600000,500,300.00,1,local-cache
2009-11-25,0.510000,0.510000,0.510000,0.510000,432,220.32,1,local-cache
2009-12-03,0.510000,0.510000,0.510000,0.510000,5000,2550.00,1,local-cache
2009-12-08,0.650000,0.650000,0.650000,0.650000,1600,1040.00,1,local-cache
2009-12-14,0.500000,0.500000,0.450000,0.450000,19500,8775.00,4,local-cache
2009-12-15,0.450000,0.450000,0.450000,0.450000,5000,2250.00,1,local-cache
2009-12-16,0.400000,0.400000,0.400000,0.400000,6000,2400.00,1,local-cache
2009-12-22,0.450000,0.450000,0.450000,0.450000,5000,2250.00,1,local-cache
2009-12-28,0.400000,0.450000,0.400000,0.400000,86500,34600.00,9,local-cache
2009-12-29,0.400000,0.400000,0.400000,0.400000,5000,2000.00,1,local-cache
2009-12-31,0.550000,0.550000,0.550000,0.550000,1000,550.00,1,local-cache
2010-01-08,0.400000,0.400000,0.400000,0.400000,100,40.00,1,local-cache
2010-01-11,0.400000,0.400000,0.400000,0.400000,5000,2000.00,1,local-cache
2010-01-12,0.370000,0.370000,0.370000,0.370000,3500,1295.00,1,local-cache
2010-01-15,0.400000,0.400000,0.400000,0.400000,21500,8600.00,3,local-cache
2010-01-19,0.310000,0.310000,0.310000,0.310000,5000,1550.00,1,local-cache
2010-01-20,0.540000,0.540000,0.530000,0.530000,36522,19356.66,4,local-cache
2010-01-22,0.500000,0.500000,0.310000,0.310000,7000,2170.00,2,local-cache
2010-01-25,0.650000,0.650000,0.650000,0.650000,174,113.10,1,local-cache
2010-01-26,0.510000,0.510000,0.510000,0.510000,2500,1275.00,1,local-cache
2010-02-02,0.480000,0.520000,0.480000,0.520000,41000,21320.00,4,local-cache
2010-02-03,0.520000,0.520000,0.400000,0.520000,68250,35490.00,5,local-cache
2010-02-04,0.500000,0.500000,0.500000,0.500000,33000,16500.00,3,local-cache
2010-02-10,0.450000,0.450000,0.450000,0.450000,5000,2250.00,1,local-cache
2010-02-24,0.450000,0.450000,0.450000,0.450000,1000,450.00,1,local-cache
2010-02-25,0.450000,0.450000,0.450000,0.450000,6500,2925.00,2,local-cache
2010-03-01,0.450000,0.450000,0.450000,0.450000,600,270.00,1,local-cache
2010-03-03,0.600000,0.600000,0.600000,0.600000,1250,750.00,1,local-cache
2010-03-08,0.550000,0.550000,0.550000,0.550000,2000,1100.00,1,local-cache
2010-03-10,0.600000,0.600000,0.600000,0.600000,900,540.00,1,local-cache
2010-03-15,0.650000,0.650000,0.650000,0.650000,2000,1300.00,1,local-cache
2010-03-22,0.510000,0.510000,0.510000,0.510000,2500,1275.00,1,local-cache
2010-03-29,0.530000,0.530000,0.520000,0.520000,20700,10764.00,3,local-cache
2010-04-06,0.510000,0.530000,0.510000,0.510000,12150,6196.50,3,local-cache
2010-04-08,0.370000,0.370000,0.370000,0.370000,9000,3330.00,2,local-cache
2010-04-09,0.550000,0.550000,0.540000,0.540000,14000,7560.00,3,local-cache
2010-04-12,0.360000,0.360000,0.360000,0.360000,4200,1512.00,2,local-cache
2010-04-16,0.360000,0.400000,0.350000,0.400000,104700,41880.00,5,local-cache
2010-04-19,0.440000,0.440000,0.440000,0.440000,5000,2200.00,1,local-cache
2010-04-20,0.510000,0.510000,0.510000,0.510000,1000,510.00,1,local-cache
2010-04-21,0.510000,0.510000,0.500000,0.500000,2200,1100.00,2,local-cache
2010-04-22,0.510000,0.510000,0.510000,0.510000,400,204.00,1,local-cache
2010-04-27,0.450000,0.510000,0.450000,0.510000,23000,11730.00,3,local-cache
2010-04-29,0.490000,0.490000,0.450000,0.450000,9000,4050.00,2,local-cache
2010-05-03,0.450000,0.450000,0.400000,0.400000,7234,2893.60,2,local-cache
2010-05-05,0.400000,0.400000,0.400000,0.400000,4000,1600.00,1,local-cache
2010-05-07,0.450000,0.450000,0.450000,0.450000,0,0.00,1,local-cache
2010-05-10,0.450000,0.460000,0.450000,0.460000,16383,7536.18,2,local-cache
2010-05-11,0.500000,0.500000,0.500000,0.500000,5000,2500.00,1,local-cache
2010-05-12,0.490000,0.500000,0.490000,0.500000,31100,15550.00,4,local-cache
2010-05-13,0.500000,0.500000,0.390000,0.390000,2900,1131.00,2,local-cache
2010-05-17,0.390000,0.390000,0.360000,0.360000,10999,3959.64,2,local-cache
2010-05-18,0.490000,0.490000,0.450000,0.450000,22000,9900.00,2,local-cache
2010-05-20,0.440000,0.440000,0.440000,0.440000,1075,473.00,1,local-cache
2010-05-21,0.450000,0.470000,0.450000,0.450000,55000,24750.00,3,local-cache
2010-05-24,0.450000,0.450000,0.450000,0.450000,500,225.00,1,local-cache
2010-05-25,0.450000,0.450000,0.380000,0.380000,11498,4369.24,3,local-cache
2010-05-27,0.380000,0.380000,0.380000,0.380000,5000,1900.00,1,local-cache
2010-06-01,0.400000,0.400000,0.400000,0.400000,15100,6040.00,1,local-cache
2010-06-10,0.360000,0.360000,0.360000,0.360000,0,0.00,1,local-cache
2010-06-11,0.370000,0.370000,0.370000,0.370000,2500,925.00,1,local-cache
2010-06-14,0.370000,0.370000,0.370000,0.370000,10394,3845.78,2,local-cache
2010-06-18,0.350000,0.350000,0.200000,0.230000,392302,90229.46,9,local-cache
2010-06-21,0.250000,0.250000,0.200000,0.200000,608750,121750.00,8,local-cache
2010-06-22,0.200000,0.200000,0.200000,0.200000,88900,17780.00,7,local-cache
2010-06-23,0.200000,0.200000,0.200000,0.200000,23930,4786.00,3,local-cache
2010-06-24,0.200000,0.200000,0.200000,0.200000,2000,400.00,1,local-cache
2010-06-25,0.200000,0.200000,0.200000,0.200000,1000,200.00,1,local-cache
2010-06-28,0.200000,0.200000,0.151000,0.151000,140100,21155.10,4,local-cache
2010-07-06,0.220000,0.220000,0.200000,0.200000,59000,11800.00,4,local-cache
2010-07-07,0.200000,0.200000,0.200000,0.200000,24950,4990.00,3,local-cache
2010-07-09,0.200000,0.200000,0.200000,0.200000,194800,38960.00,6,local-cache
2010-07-12,0.200000,0.230000,0.200000,0.230000,2351195,540774.85,17,local-cache
2010-07-13,0.240000,0.240000,0.230000,0.230000,132550,30486.50,5,local-cache
2010-07-14,0.230000,0.230000,0.220000,0.220000,90100,19822.00,4,local-cache
2010-07-20,0.220000,0.250000,0.220000,0.250000,145000,36250.00,3,local-cache
2010-07-21,0.250000,0.250000,0.250000,0.250000,108400,27100.00,5,local-cache
