date,open,high,low,close,volume,dollar_volume,trade_count,sources
2008-01-07,0.007000,0.007000,0.007000,0.007000,145000,1015.00,1,local-cache
2008-01-08,0.010000,0.010000,0.010000,0.010000,330000,3300.00,1,local-cache
2008-01-14,0.009000,0.009000,0.008000,0.008000,600000,4800.00,2,local-cache
2008-01-16,0.008000,0.008000,0.008000,0.008000,10000,80.00,1,local-cache
2008-01-17,0.008000,0.008000,0.008000,0.008000,32000,256.00,1,local-cache
2008-01-23,0.007000,0.007000,0.007000,0.007000,26000,182.00,1,local-cache
2008-01-28,0.008000,0.008000,0.008000,0.008000,130220,1041.76,1,local-cache
2008-02-01,0.007000,0.007000,0.006000,0.006000,585000,3510.00,4,local-cache
2008-02-11,0.010000,0.010000,0.010000,0.010000,5000,50.00,1,local-cache
2008-02-14,0.008000,0.008000,0.007000,0.007000,150000,1050.00,3,local-cache
2008-02-21,0.006000,0.006000,0.006000,0.006000,390000,2340.00,1,local-cache
2008-02-27,0.007000,0.007000,0.006000,0.006000,285000,1710.00,4,local-cache
2008-02-29,0.005000,0.005000,0.005000,0.005000,30000,150.00,1,local-cache
2008-03-07,0.005000,0.005000,0.005000,0.005000,0,0.00,1,local-cache
2008-03-26,0.005000,0.005000,0.005000,0.005000,0,0.00,1,local-cache
2008-03-28,0.005000,0.005000,0.005000,0.005000,99000,495.00,1,local-cache
2008-04-01,0.005000,0.005000,0.003000,0.003000,1370000,4110.00,5,local-cache
2008-04-02,0.003000,0.003000,0.003000,0.003000,5000,15.00,1,local-cache
2008-04-03,0.003000,0.003000,0.003000,0.003000,95000,285.00,1,local-cache
2008-04-16,0.004000,0.004000,0.004000,0.004000,473000,1892.00,2,local-cache
2008-04-28,0.003000,0.003000,0.003000,0.003000,45000,135.00,1,local-cache
2008-05-05,0.003000,0.003000,0.003000,0.003000,400000,1200.00,1,local-cache
2008-05-19,0.003000,0.003000,0.003000,0.003000,10000,30.00,1,local-cache
2008-06-24,0.003000,0.003000,0.003000,0.003000,28000,84.00,1,local-cache
2008-06-25,0.005000,0.006000,0.005000,0.006000,285000,1710.00,5,local-cache
2008-06-27,0.005000,0.008000,0.005000,0.008000,209000,1672.00,5,local-cache
2008-06-30,0.010000,0.010000,0.010000,0.010000,45000,450.00,2,local-cache
2008-07-03,0.005000,0.005000,0.005000,0.005000,30000,150.00,1,local-cache
2008-07-09,0.010000,0.010000,0.010000,0.010000,2000,20.00,1,local-cache
2008-07-14,0.010000,0.010000,0.010000,0.010000,1000,10.00,1,local-cache
2008-07-21,0.010000,0.010000,0.010000,0.010000,500,5.00,1,local-cache
2008-07-29,0.005000,0.005000,0.004000,0.004000,30000,120.00,2,local-cache
2008-07-31,0.006000,0.006000,0.006000,0.006000,1600,9.60,1,local-cache
2008-08-13,0.009000,0.009000,0.009000,0.009000,0,0.00,1,local-cache
2008-08-14,0.006000,0.006000,0.006000,0.006000,830000,4980.00,7,local-cache
2008-08-15,0.009000,0.009000,0.009000,0.009000,0,0.00,1,local-cache
2008-08-21,0.009000,0.009000,0.009000,0.009000,12136,109.22,1,local-cache
2008-08-28,0.007000,0.009000,0.007000,0.009000,90000,810.00,3,local-cache
2008-09-03,0.007000,0.007000,0.007000,0.007000,6000,42.00,1,local-cache
2008-09-04,0.007000,0.007000,0.007000,0.007000,25000,175.00,2,local-cache
2008-09-08,0.010000,0.010000,0.010000,0.010000,100,1.00,1,local-cache
2008-09-10,0.010000,0.010000,0.010000,0.010000,31000,310.00,3,local-cache
