date,open,high,low,close,volume,dollar_volume,trade_count,sources
2008-01-02,0.150000,0.170000,0.150000,0.170000,2500,425.00,3,local-cache
2008-01-03,0.170000,0.170000,0.150000,0.160000,81430,13028.80,7,local-cache
2008-01-04,0.160000,0.160000,0.160000,0.160000,5000,800.00,1,local-cache
2008-01-07,0.160000,0.160000,0.150000,0.150000,14500,2175.00,5,local-cache
2008-01-08,0.150000,0.150000,0.150000,0.150000,780,117.00,1,local-cache
2008-01-09,0.190000,0.190000,0.160000,0.190000,1600,304.00,3,local-cache
2008-01-10,0.185000,0.190000,0.160000,0.160000,9103,1456.48,3,local-cache
2008-01-11,0.160000,0.180000,0.150000,0.150000,235875,35381.25,9,local-cache
2008-01-14,0.150000,0.150000,0.150000,0.150000,0,0.00,1,local-cache
2008-01-15,0.190000,0.190000,0.150000,0.150000,32298,4844.70,4,local-cache
2008-01-16,0.150000,0.150000,0.120000,0.120000,3378,405.36,3,local-cache
2008-01-17,0.150000,0.150000,0.150000,0.150000,0,0.00,1,local-cache
2008-01-23,0.120000,0.130000,0.120000,0.130000,99100,12883.00,6,local-cache
2008-01-25,0.110000,0.110000,0.110000,0.110000,1000,110.00,1,local-cache
2008-01-28,0.110000,0.139000,0.110000,0.139000,74904,10411.66,7,local-cache
2008-01-29,0.139000,0.139000,0.105000,0.105000,26685,2801.92,3,local-cache
2008-01-30,0.100000,0.110000,0.100000,0.110000,107640,11840.40,5,local-cache
2008-02-04,0.120000,0.130000,0.100000,0.130000,180596,23477.48,9,local-cache
2008-02-06,0.110000,0.110000,0.100000,0.100000,67900,6790.00,5,local-cache
2008-02-07,0.110000,0.110000,0.100000,0.100000,26636,2663.60,3,local-cache
2008-02-08,0.100000,0.100000,0.100000,0.100000,840,84.00,2,local-cache
2008-02-11,0.100000,0.100000,0.100000,0.100000,1000,100.00,1,local-cache
2008-02-12,0.100000,0.100000,0.100000,0.100000,117035,11703.50,4,local-cache
2008-02-13,0.090000,0.100000,0.080000,0.100000,49700,4970.00,4,local-cache
2008-02-14,0.100000,0.100000,0.100000,0.100000,10000,1000.00,1,local-cache
2008-02-15,0.100000,0.100000,0.100000,0.100000,53400,5340.00,4,local-cache
2008-02-19,0.090000,0.090000,0.080000,0.080000,20300,1624.00,2,local-cache
2008-02-20,0.100000,0.100000,0.100000,0.100000,10000,1000.00,1,local-cache
2008-02-21,0.100000,0.100000,0.085000,0.085000,41250,3506.25,3,local-cache
2008-02-22,0.080000,0.080000,0.080000,0.080000,72000,5760.00,4,local-cache
2008-02-25,0.070000,0.070000,0.060000,0.060000,190597,11435.82,7,local-cache
2008-02-26,0.050000,0.080000,0.050000,0.080000,228000,18240.00,5,local-cache
2008-02-27,0.070000,0.070000,0.050000,0.070000,165700,11599.00,7,local-cache
2008-02-28,0.070000,0.070000,0.060000,0.060000,121700,7302.00,5,local-cache
2008-02-29,0.060000,0.060000,0.050000,0.060000,82900,4974.00,6,local-cache
2008-03-03,0.065000,0.065000,0.065000,0.065000,10000,650.00,1,local-cache
2008-03-05,0.060000,0.060000,0.060000,0.060000,30132,1807.92,3,local-cache
2008-03-06,0.060000,0.060000,0.054000,0.054000,22000,1188.00,2,local-cache
2008-03-07,0.054000,0.054000,0.054000,0.054000,15600,842.40,2,local-cache
2008-03-10,0.051000,0.051000,0.051000,0.051000,0,0.00,1,local-cache
2008-03-11,0.050000,0.050000,0.045000,0.045000,193200,8694.00,4,local-cache
2008-03-12,0.040000,0.050000,0.040000,0.050000,23250,1162.50,2,local-cache
2008-03-13,0.050000,0.060000,0.050000,0.060000,39550,2373.00,3,local-cache
2008-03-14,0.050000,0.050000,0.050000,0.050000,0,0.00,1,local-cache
2008-03-17,0.060000,0.060000,0.060000,0.060000,0,0.00,1,local-cache
2008-03-19,0.050000,0.050000,0.050000,0.050000,0,0.00,1,local-cache
2008-03-20,0.050000,0.050000,0.050000,0.050000,17800,890.00,1,local-cache
2008-03-24,0.050000,0.050000,0.050000,0.050000,0,0.00,1,local-cache
2008-03-25,0.050000,0.050000,0.050000,0.050000,0,0.00,1,local-cache
2008-03-26,0.059000,0.060000,0.059000,0.060000,25000,1500.00,2,local-cache
2008-03-27,0.070000,0.070000,0.050000,0.050000,36200,1810.00,2,local-cache
2008-03-28,0.042000,0.042000,0.040000,0.040000,10200,408.00,2,local-cache
2008-03-31,0.040000,0.040000,0.040000,0.040000,0,0.00,1,local-cache
2008-04-01,0.040000,0.040000,0.040000,0.040000,0,0.00,1,local-cache
2008-04-02,0.040000,0.040000,0.040000,0.040000,52750,2110.00,3,local-cache
2008-04-03,0.050000,0.050000,0.050000,0.050000,4000,200.00,1,local-cache
2008-04-07,0.050000,0.070000,0.050000,0.070000,10500,735.00,2,local-cache
2008-04-16,0.059000,0.059000,0.050000,0.050000,21700,1085.00,2,local-cache
2008-04-17,0.045000,0.045000,0.045000,0.045000,17600,792.00,2,local-cache
2008-05-21,0.050000,0.050000,0.050000,0.050000,0,0.00,1,local-cache
2008-05-22,0.040000,0.045000,0.040000,0.045000,78000,3510.00,4,local-cache
2008-05-23,0.040000,0.040000,0.035000,0.035000,55000,1925.00,2,local-cache
2008-05-28,0.025000,0.025000,0.025000,0.025000,100,2.50,1,local-cache
2008-05-30,0.025000,0.025000,0.025000,0.025000,800,20.00,1,local-cache
2008-06-02,0.026000,0.026000,0.026000,0.026000,150,3.90,1,local-cache
2008-06-03,0.030000,0.030000,0.030000,0.030000,41000,1230.00,2,local-cache
2008-06-04,0.030000,0.060000,0.030000,0.050000,746126,37306.30,12,local-cache
2008-06-05,0.060000,0.070000,0.045000,0.045000,1080600,48627.00,13,local-cache
2008-06-09,0.050000,0.050000,0.050000,0.050000,4000,200.00,1,local-cache
2008-06-11,0.035000,0.035000,0.030000,0.030000,69000,2070.00,2,local-cache
2008-06-13,0.030000,0.030000,0.030000,0.030000,5000,150.00,1,local-cache
2008-06-16,0.030000,0.040000,0.030000,0.040000,179000,7160.00,5,local-cache
2008-06-17,0.045000,0.045000,0.040000,0.040000,53511,2140.44,4,local-cache
2008-06-18,0.030000,0.030000,0.030000,0.030000,23000,690.00,1,local-cache
2008-06-23,0.030000,0.030000,0.030000,0.030000,9172,275.16,1,local-cache
2008-06-26,0.030000,0.030000,0.030000,0.030000,154592,4637.76,4,local-cache
2008-07-01,0.040000,0.040000,0.040000,0.040000,0,0.00,1,local-cache
2008-07-14,0.026000,0.026000,0.026000,0.026000,2000,52.00,1,local-cache
2008-07-22,0.026000,0.026000,0.026000,0.026000,2223,57.80,1,local-cache
2008-07-23,0.040000,0.045000,0.040000,0.045000,37392,1682.64,2,local-cache
2008-07-29,0.045000,0.045000,0.045000,0.045000,5000,225.00,1,local-cache
2008-07-30,0.026000,0.026000,0.026000,0.026000,12466,324.12,2,local-cache
2008-07-31,0.026000,0.050000,0.026000,0.026000,13500,351.00,4,local-cache
2008-08-08,0.026000,0.040000,0.026000,0.040000,44260,1770.40,3,local-cache
2008-08-19,0.030000,0.030000,0.030000,0.030000,25000,750.00,2,local-cache
2008-08-21,0.025000,0.025000,0.025000,0.025000,682,17.05,1,local-cache
2008-08-22,0.030000,0.030000,0.030000,0.030000,1000,30.00,1,local-cache
2008-08-25,0.028000,0.028000,0.028000,0.028000,19625,549.50,2,local-cache
2008-08-26,0.028000,0.028000,0.028000,0.028000,5000,140.00,1,local-cache
2008-09-03,0.028000,0.028000,0.028000,0.028000,55000,1540.00,3,local-cache
2008-09-08,0.022000,0.022000,0.022000,0.022000,40000,880.00,1,local-cache
2008-09-09,0.025000,0.025000,0.020000,0.020000,25000,500.00,2,local-cache
2008-09-16,0.020000,0.022000,0.020000,0.022000,241800,5319.60,4,local-cache
2008-09-17,0.022000,0.022000,0.022000,0.022000,19450,427.90,2,local-cache
2008-09-18,0.022000,0.022000,0.020000,0.020000,112200,2244.00,3,local-cache
2008-09-22,0.020000,0.020000,0.020000,0.020000,5000,100.00,1,local-cache
2008-09-23,0.020000,0.020000,0.020000,0.020000,35000,700.00,2,local-cache
2008-09-25,0.020000,0.020000,0.020000,0.020000,8000,160.00,1,local-cache
2008-09-29,0.020000,0.020000,0.020000,0.020000,30000,600.00,1,local-cache
2008-09-30,0.020000,0.020000,0.020000,0.020000,51000,1020.00,2,local-cache
2008-10-02,0.020000,0.020000,0.020000,0.020000,83000,1660.00,3,local-cache
2008-10-06,0.020000,0.020000,0.020000,0.020000,45000,900.00,1,local-cache
2008-10-07,0.020000,0.020000,0.020000,0.020000,17000,340.00,2,local-cache
2008-10-08,0.020000,0.020000,0.020000,0.020000,75375,1507.50,3,local-cache
2008-10-16,0.011000,0.011000,0.011000,0.011000,12000,132.00,1,local-cache
2008-10-22,0.002000,0.002000,0.002000,0.002000,0,0.00,1,local-cache
2008-10-23,0.008000,0.008000,0.007000,0.007000,135000,945.00,5,local-cache
2008-10-24,0.004000,0.004000,0.004000,0.004000,5000,20.00,1,local-cache
2008-10-28,0.005000,0.005000,0.005000,0.005000,5000,25.00,1,local-cache
2008-10-29,0.005000,0.005000,0.005000,0.005000,5000,25.00,1,local-cache
2008-10-30,0.005000,0.008000,0.005000,0.008000,251454,2011.63,4,local-cache
2008-11-06,0.007000,0.008000,0.007000,0.008000,15000,120.00,2,local-cache
2008-11-07,0.009000,0.009000,0.009000,0.009000,5000,45.00,1,local-cache
2008-11-10,0.010000,0.010000,0.010000,0.010000,20000,200.00,1,local-cache
2008-11-11,0.010000,0.010000,0.010000,0.010000,5000,50.00,1,local-cache
2008-11-13,0.003000,0.007000,0.003000,0.007000,214500,1501.50,2,local-cache
2008-11-14,0.007000,0.007000,0.007000,0.007000,5400,37.80,2,local-cache
2008-11-17,0.007000,0.007000,0.006000,0.006000,10100,60.60,3,local-cache
2008-11-20,0.006000,0.006000,0.003000,0.003000,70000,210.00,3,local-cache
2008-11-21,0.003000,0.003000,0.003000,0.003000,68644,205.93,2,local-cache
