date,open,high,low,close,volume,dollar_volume,trade_count,sources
2008-01-08,18.250000,18.250000,18.250000,18.250000,200,3650.00,1,local-cache
2008-01-09,17.850000,17.850000,17.850000,17.850000,400,7140.00,1,local-cache
2008-01-14,17.550000,17.750000,17.550000,17.750000,3600,63900.00,4,local-cache
2008-01-16,17.700000,17.700000,17.700000,17.700000,200,3540.00,1,local-cache
2008-01-23,17.750000,17.750000,17.750000,17.750000,600,10650.00,2,local-cache
2008-01-25,17.500000,17.500000,17.500000,17.500000,2000,35000.00,1,local-cache
2008-01-28,17.700000,17.950000,17.680000,17.920000,28812,516311.04,5,local-cache
2008-02-19,18.000000,18.000000,18.000000,18.000000,2600,46800.00,2,local-cache
2008-02-26,17.850000,17.950000,17.850000,17.950000,1640,29438.00,2,local-cache
2008-03-07,17.750000,17.750000,17.750000,17.750000,200,3550.00,2,local-cache
2008-03-10,17.850000,17.850000,17.850000,17.850000,0,0.00,1,local-cache
2008-03-19,17.500000,17.500000,17.500000,17.500000,0,0.00,1,local-cache
2008-04-23,18.000000,18.000000,18.000000,18.000000,200,3600.00,1,local-cache
2008-06-02,18.200000,18.200000,18.200000,18.200000,200,3640.00,1,local-cache
2008-06-20,17.050000,17.050000,17.050000,17.050000,600,10230.00,1,local-cache
2008-06-25,16.600000,16.600000,16.600000,16.600000,200,3320.00,1,local-cache
2008-07-10,16.600000,16.600000,16.600000,16.600000,54943,912053.80,1,local-cache
2008-07-14,17.500000,17.500000,17.500000,17.500000,500,8750.00,1,local-cache
2008-07-16,17.250000,17.250000,17.250000,17.250000,600,10350.00,1,local-cache
2008-07-18,17.000000,17.000000,16.950000,16.950000,2348,39798.60,3,local-cache
2008-07-22,16.800000,16.800000,16.800000,16.800000,200,3360.00,1,local-cache
2008-07-28,16.750000,16.750000,16.750000,16.750000,200,3350.00,1,local-cache
2008-08-13,16.650000,16.650000,16.650000,16.650000,0,0.00,1,local-cache
2008-08-14,16.050000,16.050000,16.050000,16.050000,800,12840.00,1,local-cache
2008-08-20,15.600000,15.600000,15.600000,15.600000,200,3120.00,1,local-cache
2008-08-27,15.640000,15.640000,15.640000,15.640000,100,1564.00,1,local-cache
2008-08-28,15.600000,15.600000,15.600000,15.600000,800,12480.00,1,local-cache
2008-09-15,15.600000,15.600000,15.600000,15.600000,2190,34164.00,2,local-cache
2008-09-22,15.600000,15.600000,15.600000,15.600000,54943,857110.80,1,local-cache
2008-09-24,15.050000,15.050000,14.270000,14.270000,5200,74204.00,3,local-cache
2008-10-03,15.250000,15.250000,15.150000,15.200000,3300,50160.00,4,local-cache
2008-10-06,15.000000,15.000000,15.000000,15.000000,400,6000.00,1,local-cache
2008-10-08,14.000000,14.000000,12.600000,13.300000,8400,111720.00,4,local-cache
2008-10-09,13.000000,13.000000,13.000000,13.000000,400,5200.00,1,local-cache
2008-10-10,13.000000,13.000000,13.000000,13.000000,1061,13793.00,1,local-cache
2008-10-23,13.500000,13.500000,13.400000,13.400000,1500,20100.00,4,local-cache
2008-11-03,13.750000,13.750000,13.750000,13.750000,100,1375.00,1,local-cache
2008-11-20,12.550000,12.550000,12.550000,12.550000,997,12512.35,1,local-cache
2008-11-24,12.000000,12.000000,12.000000,12.000000,400,4800.00,1,local-cache
2008-11-25,12.500000,12.500000,12.500000,12.500000,150,1875.00,1,local-cache
2008-12-02,12.000000,12.000000,12.000000,12.000000,700,8400.00,1,local-cache
2008-12-04,12.000000,12.000000,12.000000,12.000000,200,2400.00,1,local-cache
2008-12-08,11.050000,11.050000,11.050000,11.050000,200,2210.00,1,local-cache
2008-12-10,10.810000,10.810000,10.810000,10.810000,0,0.00,1,local-cache
2009-01-07,10.810000,10.810000,10.810000,10.810000,300,3243.00,1,local-cache
2009-01-16,10.550000,10.550000,10.550000,10.550000,350,3692.50,1,local-cache
2009-01-26,11.500000,11.500000,10.000000,10.000000,2450,24500.00,3,local-cache
2009-01-27,10.500000,10.500000,10.500000,10.500000,200,2100.00,1,local-cache
